lat,lon,pop
40.240922,-122.156639,1.0
34.168398,-116.815235,1.0
39.335008418,-123.0866119428,1.0
38.452278,-122.966065,1.0
36.486367,-118.565752,1.0
34.209902,-118.146813,1.0
34.209902,-118.146813,1.0
35.637828,-118.120331,1.0
37.742027,-119.603573,1.0
37.7947916667,-119.8665083333,1.0
39.2366116667,-120.0707471667,1.0
40.456926,-121.483765,1.0
39.634449,-123.331376,1.0
40.342477,-121.437936,1.0
36.433317,-118.683617,1.0
36.433317,-118.683617,1.0
34.229785,-118.221393,1.0
37.728793,-119.608829,1.0
36.548604,-118.763967,1.0
37.667924,-119.597888,1.0
34.1664611667,-117.7036583333,1.0
36.562445,-118.751487,1.0
37.7440416667,-119.57522,1.0
34.0684317021,-117.8731247684,1.0
34.027411322,-117.9302112753,1.0
34.2665306014,-118.1419166367,1.0
40.49766,-121.420655,1.0
38.935277,-120.051992,1.0
34.2089084118,-118.1804970252,1.0
34.1561471667,-117.97805,1.0
40.6535949707,-123.0132293701,1.0
38.566872,-122.684726,1.0
36.5547398311,-118.780916445,1.0
37.715331331,-119.6711111069,1.0
34.1568111667,-117.9785166667,1.0
38.2406972222,-120.2694416667,1.0
38.405843381,-122.5792798393,1.0
34.1562888333,-117.9781583333,1.0
36.5807133333,-118.7497866667,1.0
36.5811210609,-118.750884096,1.0
38.9372944444,-120.0546416667,1.0
34.32,-118.31,1.0
34.1535924742,-117.9711556921,1.0
34.1534859322,-117.9712415228,1.0
38.9049728387,-121.054599881,1.0
34.1567028333,-117.978395,1.0
38.9153912862,-120.0455796719,1.0
34.1618536717,-117.970032692,1.0
37.5311616667,-119.3019066667,1.0
37.7237201128,-119.5742077995,1.0
37.7212551261,-119.5741653442,1.0
37.637888086,-119.0563488007,1.0
36.33428,-118.732605,1.0
37.7251078846,-119.6212005615,1.0
39.3197533333,-121.2018466667,1.0
37.1682941531,-119.0660133341,1.0
34.1775192634,-118.0215531159,1.0
34.0000660531,-118.2794869677,1.0
34.1785918913,-118.3160816506,1.0
34.0506244651,-118.2487645411,1.0
34.1560945,-117.9780116667,1.0
34.2384984441,-117.6565056174,1.0
34.1753466667,-117.9903633333,1.0
34.1591945,-117.9849466667,1.0
38.2792571902,-120.3068284007,1.0
34.1563695,-117.9781116667,1.0
34.1589195,-117.9846633333,1.0
37.8004139317,-119.5289958458,1.0
34.1586528333,-117.984405,1.0
38.9556350933,-122.2474712113,1.0
37.7542092532,-119.5448353886,1.0
34.2267463387,-117.666774094,1.0
39.2911917882,-123.2562912758,1.0
39.4815700878,-121.2282551852,1.0
