lat,lon,pop
18.93556387945,-98.13082851835,2.0
19.202593,-99.6478639722,1.0
19.832722,-98.994138,1.0
23.0443386338,-99.3878640126,1.0
23.1290516927,-100.2001288119,1.0
23.1584044904,-99.3390310439,1.0
23.7690647392,-99.9708981993,1.0
23.6968251433,-99.6392752333,1.0
23.6689325302,-99.0962527786,1.0
23.9952122135,-99.9095781001,1.0
23.954315378166665,-99.74933170156667,3.0
24.6176970024,-100.7966852036,1.0
24.47825355927143,-99.94801264195713,7.0
24.454828921649998,-99.74508663045,2.0
24.6276993269,-100.6319242892,1.0
24.7474180646,-99.8908137706,1.0
25.1047201538,-101.4405984889,1.0
25.0978275697,-101.1782848173,1.0
25.0285695677,-100.9003568538,1.0
25.0371299344,-100.3371085994,1.0
24.9818415697,-99.96808841753334,3.0
25.1815493031,-101.4241859696,1.0
25.27077058914,-101.16811431874001,5.0
25.288586940326564,-100.93744509449454,128.0
25.28387242052239,-100.83570550941792,67.0
25.28051840450625,-100.48712863053125,16.0
25.278916858814284,-100.2666535459,14.0
25.359658288433334,-100.082353424,3.0
25.31205306055,-80.64687535830001,2.0
25.3859375545,-101.17602209715,2.0
25.387043545878946,-100.94290107664737,19.0
25.43795517645833,-100.8020144055,12.0
25.47646542044737,-100.48364866836842,19.0
25.51686615532381,-100.30153469231904,21.0
25.4433951924,-100.056877479175,4.0
25.407259063566666,-80.67162561443334,9.0
25.722871612555554,-100.51053934276666,9.0
25.71487353761905,-100.28965041913332,21.0
25.822036297866664,-81.0294352088,3.0
25.8192017271,-80.829407628,1.0
26.093735018166665,-99.96097306793332,3.0
26.1246955398,-99.6959645294,1.0
26.088909674399996,-81.68382961879999,5.0
26.033501701366667,-81.51550687406666,9.0
25.97573839235714,-81.33926203831427,7.0
26.3380760783,-101.3917709057,1.0
26.3328280128,-100.1895564787,1.0
26.21502616416667,-100.02194881293333,3.0
26.207977699128573,-81.50191583212857,7.0
26.199739391999998,-81.30295053665,6.0
26.230354739990002,-80.97752704887999,10.0
26.48629569325,-100.45270675525,2.0
26.519178080633335,-81.51327411716666,3.0
26.7288166068,-100.72467672965,2.0
26.7413626702,-81.2267089957,1.0
27.062654399,-102.5797488625,1.0
26.9903962779,-100.74129516875,2.0
26.9731385765,-99.2338141386,1.0
27.0605543764,-81.3216243618,1.0
27.1256792011,-101.542011471,1.0
27.128217744,-100.5383400324,1.0
27.3231904184,-82.4079160105,1.0
27.249957443950002,-81.39761192605,2.0
27.296994166650002,-81.33234833329999,2.0
27.4609930089,-102.1675133318,1.0
27.4558514727,-81.4419527284,3.0
27.8289402271,-101.4518537667,1.0
27.736842,-81.62645,1.0
27.750597952957143,-81.46648802374285,7.0
27.925584806766665,-101.51812440723334,3.0
27.98907829725,-101.250808876375,4.0
28.0515001416,-101.012027005,1.0
28.0679670004,-100.65260055585,2.0
27.901875609,-81.585909985,1.0
28.3020254378,-108.2134616063,1.0
28.290362980399998,-102.5389179699,2.0
28.3052304924,-102.3284738854,1.0
28.3420053275,-101.1742898605,1.0
28.26102199595,-101.10311278924999,2.0
28.1392881091,-100.6408506458,1.0
28.4637478412,-107.5255503187,1.0
28.4960573069,-102.24293539205,4.0
28.55430642485,-102.0695180168,2.0
28.3829843204,-100.9189781572,1.0
28.6173869,-82.5523102,1.0
28.554695,-81.64192167,1.0
28.5623749759,-81.0025995017,1.0
28.825196061,-102.7396141805,1.0
28.6665935087,-102.5912461417,1.0
28.7115877503,-101.882729348,1.0
28.6324466,-82.6053325,1.0
28.8110086565,-82.2229089721,1.0
28.828741044650002,-81.7150339068,2.0
28.74920033297647,-81.45685462197648,17.0
28.72551218727778,-81.24361795056667,9.0
28.951840676,-106.5268444753,1.0
29.049653627525,-103.48128489320001,4.0
29.07510150115,-103.35115919895,2.0
29.074521155,-103.1136818143,1.0
29.0192308017,-102.73691427122,5.0
28.936074587057142,-102.5241039868143,7.0
28.9816902584,-102.1560301445,1.0
28.997587314233332,-82.67949070196666,3.0
29.0011666667,-82.1793333333,1.0
29.061036859,-81.9847444099,1.0
29.098857103500002,-81.6794122094,2.0
29.014736912675,-81.495505695825,4.0
28.9689128396,-81.34088702625,2.0
29.344934499700003,-106.4264524497,2.0
29.1750394239,-104.0936523016,1.0
29.28100073287857,-103.40675128824286,14.0
29.282388092982444,-103.28785267917175,131.0
29.1817191878,-102.6767724353,1.0
29.1419237778,-102.6033296563,1.0
29.278777,-82.12784,2.0
29.281118,-82.112706,1.0
29.238723828017143,-81.76323547112285,35.0
29.200249399233332,-81.55447579786666,3.0
29.26008750445,-81.13492916665001,2.0
29.4810272785,-107.5811210053,1.0
29.47284883355,-103.4791172904,4.0
29.390855609511114,-103.28693951152223,18.0
29.512206107275,-102.95571657855,4.0
29.5635724069,-100.6098992052,1.0
29.57117862433333,-82.23167648736667,3.0
29.452922918050003,-81.79587242476667,6.0
29.549125,-81.6082833333,1.0
29.6425197954,-91.4494706401,1.0
29.7047802093,-85.3919145137,1.0
29.692835269525,-85.234588307125,4.0
29.83897218095,-84.7448518965,2.0
29.7910751192,-82.4702071398,1.0
29.71311134605,-81.29153567905,2.0
29.98043008425,-91.95186858205,2.0
29.9491485659,-91.72366401443333,3.0
30.1032397254,-85.64571313595,2.0
30.0411555022,-84.95973833,1.0
29.9479765757,-84.4984013463,3.0
30.022244221575,-84.256485468575,4.0
29.9271169819,-81.6642354822,2.0
